BF,BFactions,D,EL,Delta_AIQ,HCI,t,Significant,AGNT1,AGNT2
BF,5,1,30000,13.0,1.0,24.73,yes,DualDQD,VPG
BF,5,1,30000,1.5,0.6,4.71,yes,Q0D,PPO
BF,5,1,30000,2.4,1.1,4.15,yes,Q0D,DQC
BF,5,1,30000,2.6,0.7,7.78,yes,Q0D,QλC
BF,5,1,30000,3.8,0.6,11.48,yes,Q0D,Q0C
BF,5,1,30000,8.2,0.6,25.43,yes,Q0D,FreqC
BF,5,1,30000,10.4,0.6,31.62,yes,Q0D,FreqD
BF,5,1,30000,12.3,0.6,41.46,yes,Q0D,VPG
BF,5,1,30000,0.9,1.1,1.56,no,PPO,DQC
BF,5,1,30000,1.1,0.6,3.32,yes,PPO,QλC
BF,5,1,30000,2.3,0.6,7.00,yes,PPO,Q0C
BF,5,1,30000,6.7,0.6,20.96,yes,PPO,FreqC
BF,5,1,30000,8.9,0.6,27.29,yes,PPO,FreqD
BF,5,1,30000,10.8,0.6,36.78,yes,PPO,VPG
BF,5,1,30000,0.2,1.1,0.34,no,DQC,QλC
BF,5,1,30000,1.4,1.1,2.40,yes,DQC,Q0C
BF,5,1,30000,5.8,1.1,10.01,yes,DQC,FreqC
BF,5,1,30000,8.0,1.1,13.72,yes,DQC,FreqD
BF,5,1,30000,9.9,1.1,17.51,yes,DQC,VPG
BF,5,1,30000,1.2,0.7,3.49,yes,QλC,Q0C
BF,5,1,30000,5.6,0.7,16.70,yes,QλC,FreqC
BF,5,1,30000,7.8,0.7,22.84,yes,QλC,FreqD
BF,5,1,30000,9.7,0.6,31.22,yes,QλC,VPG
BF,5,1,30000,4.4,0.7,13.24,yes,Q0C,FreqC
BF,5,1,30000,6.6,0.7,19.49,yes,Q0C,FreqD
BF,5,1,30000,8.5,0.6,27.64,yes,Q0C,VPG
BF,5,1,30000,2.2,0.6,6.66,yes,FreqC,FreqD
BF,5,1,30000,4.1,0.6,13.75,yes,FreqC,VPG
BF,5,1,30000,1.9,0.6,6.23,yes,FreqD,VPG
BF,5,1,100000,0.2,0.6,0.63,no,HLQλD,QλD
BF,5,1,100000,0.7,0.6,2.18,yes,HLQλD,Q0D
BF,5,1,100000,0.8,0.6,2.46,yes,HLQλD,HLQλC
BF,5,1,100000,1.2,1.1,2.19,yes,HLQλD,DQD
BF,5,1,100000,1.4,1.1,2.50,yes,HLQλD,DualDQC
BF,5,1,100000,1.5,1.1,2.76,yes,HLQλD,DualDQD
BF,5,1,100000,1.8,0.6,5.59,yes,HLQλD,PPO
BF,5,1,100000,3.0,0.6,9.08,yes,HLQλD,QλC
BF,5,1,100000,3.4,0.6,10.50,yes,HLQλD,Q0C
